"Layered Navigation","Layered Navigation"
"Layered Navigation Filters","Layered Navigation Filters"
"Add","Add"
"Save","Save"
"Close","Close"
"Apply","Apply"
"%s - Layered Navigation Filter","%s - Layered Navigation Filter"
"%s - Filter","%s - Filter"
"Display Settings","Display Settings"
"Attribute Type Filter As","Attribute Type Filter As"
"Price Type Filter As","Price Type Filter As"
"Category Type Filter As","Category Type Filter As"
"In Category","In Category"
"In Search","In Search"
"Display As","Display As"
"Session Settings","Session Settings"
"Remember Applied Filters","Remember Applied Filters"
"If set, system remembers filters applied to each category so when customer navigates to a category to which he/she had applied filters earlier, those filtered are still applied.","If set, system remembers filters applied to each category so when customer navigates to a category to which he/she had applied filters earlier, those filtered are still applied."
"Price Filter As","Price Filter As"
"Applied to system attribute 'price'","Applied to system attribute 'price'"
"Applied to all other attributes of price type","Applied to all other attributes of price type"
"Sort Items By","Sort Items By"
"Not applicable to category and price filters","Not applicable to category and price filters"